Vehicle_ID,Vehicle_Model,Manufacturer,Manufacturing_Year,Battery_Capacity,Battery_State_of_Health,Charging_Start_Time,Charging_End_Time,Charging_Duration,Charging_Station,Charging_Type,Temperature,Energy_Consumed,Distance_Travelled,Charging_Cost,Fleet_ID,Location,Charging_Status,Maintenance_Status,Driver_ID,Weather,Battery_Temperature,Distance_Travelled_km,Efficiency_kWh_100km,Degradation_Status
EV0001,Tata Nexon EV,Tata,2023,40,94.2,2026-01-08 11:15:00,2026-01-08 12:21:00,1.1,Mangalore Station 1,Normal,32,20.8,67.0,249.6,Premium Fleet,Mangalore,Completed,Good,D0001,Cloudy,22.5,76.0,26.32,Healthy
EV0002,Kia EV6,Kia,2023,77,95.8,2026-01-09 19:00:00,2026-01-09 21:35:00,2.58,Belagavi Station 2,Normal,30,46.8,278.0,561.6,Premium Fleet,Belagavi,Completed,Good,D0002,Sunny,22.5,76.0,26.32,Healthy
EV0003,Mahindra XUV400,Mahindra,2023,39,98.5,2026-01-10 07:15:00,2026-01-10 07:41:00,0.43,Mangalore Station 1,Fast,32,24.3,77.0,291.60000000000002,Green Mobility,Mangalore,Completed,Good,D0003,Sunny,22.5,76.0,26.32,Healthy
EV0004,BYD Atto 3,BYD,2023,60,97.6,2026-01-11 11:00:00,2026-01-11 11:33:00,0.55,Mysore Station 2,Fast,28,25.0,95.0,300,Green Mobility,Mysore,Completed,Good,D0004,Cloudy,22.5,76.0,26.32,Healthy
EV0005,Tata Curvv EV,Tata,2023,55,94.5,2026-01-12 19:30:00,2026-01-12 21:35:00,2.08,Hubli Station 2,Normal,32,36.9,70.0,442.8,EV Fleet India,Hubli,Completed,Good,D0005,Rainy,22.5,76.0,26.32,Healthy
EV0006,MG Comet EV,MG,2023,17,98.4,2026-01-13 19:30:00,2026-01-13 19:34:00,0.07,Belagavi Station 1,Fast,29,5.5,182.0,66,Premium Fleet,Belagavi,Completed,Good,D0006,Rainy,22.5,76.0,26.32,Healthy
EV0007,BYD Atto 3,BYD,2023,60,98.1,2026-01-14 07:00:00,2026-01-14 07:51:00,0.85,Hubli Station 1,Fast,37,46.4,143.0,556.79999999999995,City EV,Hubli,Completed,Good,D0007,Cloudy,22.5,76.0,26.32,Healthy
EV0008,MG ZS EV,MG,2023,50,98.4,2026-01-15 00:45:00,2026-01-15 01:30:00,0.75,Bangalore Station 2,Fast,30,37.1,194.0,445.2,City EV,Bangalore,Completed,Good,D0008,Rainy,22.5,76.0,26.32,Healthy
EV0009,Tata Punch EV,Tata,2023,35,98.5,2026-01-16 22:15:00,2026-01-16 22:43:00,0.47,Bangalore Station 2,Fast,31,25.5,292.0,306,Green Mobility,Bangalore,Completed,Good,D0009,Rainy,22.5,76.0,26.32,Healthy
EV0010,Mahindra XUV400,Mahindra,2023,39,95.7,2026-01-17 19:30:00,2026-01-17 19:52:00,0.37,Bangalore Station 1,Fast,27,18.0,209.0,216,Green Mobility,Bangalore,Completed,Good,D0010,Sunny,22.5,76.0,26.32,Healthy
EV0011,Tata Punch EV,Tata,2023,35,96.0,2026-01-18 05:45:00,2026-01-18 06:13:00,0.47,Belagavi Station 1,Fast,38,27.4,138.0,328.8,EV Fleet India,Belagavi,Completed,Good,D0011,Cloudy,22.5,76.0,26.32,Healthy
EV0012,MG ZS EV,MG,2023,50,98.8,2026-01-19 09:30:00,2026-01-19 11:05:00,1.58,Hubli Station 2,Normal,37,26.9,146.0,322.8,Green Mobility,Hubli,Completed,Good,D0012,Sunny,22.5,76.0,26.32,Healthy
EV0013,Kia EV6,Kia,2023,77,98.9,2026-01-20 06:30:00,2026-01-20 08:56:00,2.43,Belagavi Station 1,Normal,31,43.1,333.0,517.20000000000005,EV Fleet India,Belagavi,Completed,Good,D0013,Cloudy,22.5,76.0,26.32,Healthy
EV0014,MG ZS EV,MG,2023,50,97.2,2026-01-21 05:30:00,2026-01-21 07:53:00,2.38,Mysore Station 1,Normal,29,41.8,188.0,501.6,City EV,Mysore,Completed,Good,D0014,Cloudy,22.5,76.0,26.32,Healthy
EV0015,Tata Nexon EV,Tata,2023,40,95.3,2026-01-22 12:45:00,2026-01-22 13:03:00,0.3,Belagavi Station 2,Fast,34,10.2,254.0,122.4,Premium Fleet,Belagavi,Completed,Good,D0015,Cloudy,22.5,76.0,26.32,Healthy
EV0016,Tata Curvv EV,Tata,2023,55,99.7,2026-01-23 09:30:00,2026-01-23 10:25:00,0.92,Bangalore Station 2,Fast,38,44.8,278.0,537.6,City EV,Bangalore,Completed,Good,D0016,Sunny,22.5,76.0,26.32,Healthy
EV0017,BYD Atto 3,BYD,2023,60,96.3,2026-01-24 00:00:00,2026-01-24 01:27:00,1.45,Hubli Station 1,Normal,33,24.7,337.0,296.39999999999998,Green Mobility,Hubli,Completed,Good,D0017,Sunny,22.5,76.0,26.32,Healthy
EV0018,Kia EV6,Kia,2023,77,94.1,2026-01-25 19:15:00,2026-01-25 21:09:00,1.9,Mangalore Station 1,Normal,33,33.7,329.0,404.4,City EV,Mangalore,Completed,Good,D0018,Sunny,22.5,76.0,26.32,Healthy
EV0019,MG Comet EV,MG,2023,17,97.2,2026-01-26 18:15:00,2026-01-26 18:28:00,0.22,Mysore Station 1,Fast,29,8.3,155.0,99.6,Premium Fleet,Mysore,Completed,Good,D0019,Sunny,22.5,76.0,26.32,Healthy
EV0020,Tata Nexon EV,Tata,2023,40,97.8,2026-01-27 09:30:00,2026-01-27 09:48:00,0.3,Bangalore Station 1,Fast,28,9.1,296.0,109.2,City EV,Bangalore,Completed,Good,D0020,Cloudy,22.5,76.0,26.32,Healthy
EV0021,Mahindra XUV400,Mahindra,2023,39,97.0,2026-01-28 04:45:00,2026-01-28 05:24:00,0.65,Hubli Station 1,Normal,39,11.6,174.0,139.19999999999999,EV Fleet India,Hubli,Completed,Good,D0021,Cloudy,22.5,76.0,26.32,Healthy
EV0022,BYD Atto 3,BYD,2023,60,94.2,2026-01-29 05:30:00,2026-01-29 06:16:00,0.77,Belagavi Station 2,Fast,35,38.9,123.0,466.8,City EV,Belagavi,Completed,Good,D0022,Rainy,22.5,76.0,26.32,Healthy
EV0023,Tata Nexon EV,Tata,2023,40,95.1,2026-01-30 13:45:00,2026-01-30 14:08:00,0.38,Mangalore Station 2,Fast,37,18.6,199.0,223.2,Green Mobility,Mangalore,Completed,Good,D0023,Sunny,22.5,76.0,26.32,Healthy
EV0024,Tata Curvv EV,Tata,2023,55,95.5,2026-01-31 16:45:00,2026-01-31 19:07:00,2.37,Bangalore Station 2,Normal,30,42.8,192.0,513.6,Green Mobility,Bangalore,Completed,Good,D0024,Sunny,22.5,76.0,26.32,Healthy
EV0025,BYD Seal,BYD,2023,82,94.6,2026-02-01 00:15:00,2026-02-01 02:09:00,1.9,Hubli Station 1,Normal,35,32.3,219.0,387.6,City EV,Hubli,Completed,Good,D0025,Rainy,22.5,76.0,26.32,Healthy
EV0026,BYD Atto 3,BYD,2023,60,99.8,2026-02-02 23:45:00,2026-02-03 01:17:00,1.53,Bangalore Station 1,Normal,27,28.0,235.0,336,Green Mobility,Bangalore,Completed,Good,D0026,Sunny,22.5,76.0,26.32,Healthy
EV0027,Tata Nexon EV,Tata,2023,40,97.8,2026-02-03 23:00:00,2026-02-04 00:11:00,1.18,Hubli Station 2,Normal,36,21.5,301.0,258,Eco Drive,Hubli,Completed,Good,D0027,Rainy,22.5,76.0,26.32,Healthy
EV0028,MG Comet EV,MG,2023,17,96.9,2026-02-04 01:45:00,2026-02-04 02:05:00,0.33,Belagavi Station 2,Fast,34,11.7,323.0,140.4,City EV,Belagavi,Completed,Good,D0028,Cloudy,22.5,76.0,26.32,Healthy
EV0029,Tata Punch EV,Tata,2023,35,94.4,2026-02-05 15:15:00,2026-02-05 15:49:00,0.57,Mangalore Station 1,Fast,39,23.9,114.0,286.8,EV Fleet India,Mangalore,Completed,Good,D0029,Rainy,22.5,76.0,26.32,Healthy
EV0030,Tata Nexon EV,Tata,2023,40,96.9,2026-02-06 02:15:00,2026-02-06 03:24:00,1.15,Hubli Station 1,Normal,34,21.9,285.0,262.8,EV Fleet India,Hubli,Completed,Good,D0030,Sunny,22.5,76.0,26.32,Healthy
EV0031,MG ZS EV,MG,2023,50,94.8,2026-02-07 22:30:00,2026-02-07 23:02:00,0.53,Belagavi Station 2,Fast,31,27.3,235.0,327.60000000000002,EV Fleet India,Belagavi,Completed,Good,D0031,Sunny,22.5,76.0,26.32,Healthy
EV0032,Kia EV6,Kia,2023,77,97.8,2026-02-08 19:15:00,2026-02-08 21:37:00,2.37,Belagavi Station 1,Normal,28,40.5,120.0,486,EV Fleet India,Belagavi,Completed,Good,D0032,Rainy,22.5,76.0,26.32,Healthy
EV0033,Mahindra XUV400,Mahindra,2023,39,95.0,2026-02-09 14:45:00,2026-02-09 15:19:00,0.57,Bangalore Station 1,Fast,30,28.6,82.0,343.2,Green Mobility,Bangalore,Completed,Good,D0033,Sunny,22.5,76.0,26.32,Healthy
EV0034,MG Comet EV,MG,2023,17,98.7,2026-02-10 11:15:00,2026-02-10 11:56:00,0.68,Bangalore Station 2,Normal,31,10.6,251.0,127.2,EV Fleet India,Bangalore,Completed,Good,D0034,Sunny,22.5,76.0,26.32,Healthy
